name,description,required,customer_type,trade,category,phase,instructions,tags
Solar Cash Purchase Agreement - Residential,Solar cash purchase contract (customer owns system),false,Residential,Solar,Contracts,Pre-Construction,Review purchase agreement. Verify system size pricing and warranty terms.,"cash,solar,residential,contract"
Net Metering Agreement - Solar Residential,Utility net metering agreement for solar credits,true,Residential,Solar,Contracts,Pre-Construction,Submit net metering application to utility with interconnection agreement.,"net-metering,solar,residential,utility"
ITC Documentation - Solar Residential,Federal Investment Tax Credit documentation (30%),false,Residential,Solar,Financial,Post-Construction,Claim 30% ITC on tax return. Keep all invoices and receipts for IRS.,"itc,solar,residential,tax-credit"
SREC Enrollment - Solar Residential,Solar Renewable Energy Credits enrollment,false,Residential,Solar,Financial,Post-Construction,Enroll in SREC program to sell renewable energy credits. State-specific.,"srec,solar,residential,credits"
Structural Engineering Letter - Solar Residential,Structural engineering letter confirming roof can support solar load,true,Residential,Solar,Technical,Pre-Construction,Engineer must certify roof structure can support solar equipment and snow/wind loads.,"structural,solar,residential,engineering"
Shading Analysis - Solar Residential,Solar shading analysis and production estimate,true,Residential,Solar,Technical,Pre-Construction,Request shading analysis (PVWatts Helioscope) showing annual production estimate.,"shading,solar,residential,analysis"
Solar Commissioning - Residential,Utility permission to operate (PTO) after commissioning,true,Residential,Solar,Inspection,Post-Construction,After final inspection utility must grant permission to operate. Required to turn on system.,"commissioning,solar,residential,pto"
Roofing Permit - Residential,Building permit for roof replacement,true,Residential,Roofing,Permits,Pre-Construction,Apply for building permit for roof replacement. Required in most jurisdictions.,"permit,roofing,residential,building"
Roofing License - Residential,State/local roofing contractor license,true,Residential,Roofing,Compliance,Pre-Construction,Request copy of contractor's roofing license.,"license,roofing,residential"
Roofing Contract - Residential,Signed roofing contract,true,Residential,Roofing,Contracts,Pre-Construction,Review contract. Verify materials payment terms and warranty.,"contract,roofing,residential"
Insurance Claim Documentation - Roofing,Insurance claim documentation for storm damage,false,Residential,Roofing,Financial,Pre-Construction,If insurance claim provide adjuster report claim number and approved amount.,"insurance,roofing,residential,claim"
Roof Inspection Report - Residential,Pre-existing condition inspection report,true,Residential,Roofing,Technical,Pre-Construction,Contractor must document pre-existing roof condition before work begins.,"inspection,roofing,residential,pre-work"
Material Specifications - Roofing Residential,Roofing material specs (shingle type underlayment),true,Residential,Roofing,Technical,Pre-Construction,Request material specs. Verify shingle type (architectural vs 3-tab) and warranty.,"specs,roofing,residential,materials"
Roofing Final Inspection - Residential,City/county final roofing inspection,true,Residential,Roofing,Inspection,Post-Construction,Schedule final inspection after work complete.,"inspection,roofing,residential,final"
Manufacturer Warranty - Roofing Residential,Manufacturer warranty registration (20-50 years),true,Residential,Roofing,O&M,Post-Construction,Register roof warranty with manufacturer. Keep documentation.,"warranty,roofing,residential,manufacturer"
Building Permit - HVAC Commercial,Commercial building permit for HVAC equipment,true,Commercial,HVAC,Permits,Pre-Construction,Submit permit application with equipment specs and plans. Allow 2-4 weeks.,"permit,hvac,commercial,building"
Fire Marshal Approval - HVAC Commercial,Fire marshal approval for rooftop equipment and gas connections,true,Commercial,HVAC,Permits,Pre-Construction,Submit plans to fire marshal for review. Required for rooftop units and gas.,"fire-marshal,hvac,commercial,approval"
General Liability Certificate - HVAC Commercial,General liability insurance ($2M/$4M),true,Commercial,HVAC,Insurance,Pre-Construction,Request COI with $2M/$4M limits naming building owner as additional insured.,"insurance,liability,hvac,commercial"
Performance Bond - HVAC Commercial,Performance bond (10-20% of contract value),true,Commercial,HVAC,Insurance,Pre-Construction,Contractor must provide performance bond for projects over $50K.,"bond,performance,hvac,commercial"
Workers Compensation Certificate - HVAC Commercial,Workers compensation insurance,true,Commercial,HVAC,Insurance,Pre-Construction,Request Workers Comp certificate showing coverage for all employees.,"insurance,workers-comp,hvac,commercial"
ASHRAE 62.1 Compliance - HVAC Commercial,ASHRAE 62.1 ventilation compliance documentation,true,Commercial,HVAC,Compliance,Pre-Construction,Verify HVAC design complies with ASHRAE 62.1 ventilation standards.,"ashrae,hvac,commercial,compliance"
Title 24 Compliance - HVAC Commercial (CA),California Title 24 energy compliance forms,true,Commercial,HVAC,Compliance,Pre-Construction,Submit Title 24 compliance forms (CF-1R MecH) to building department.,"title-24,hvac,commercial,california"
Commercial HVAC Contract,AIA A101 or custom commercial HVAC contract,true,Commercial,HVAC,Contracts,Pre-Construction,Review contract. Verify scope payment milestones and liquidated damages clause.,"contract,hvac,commercial"
Load Calculation - Manual N,ACCA Manual N commercial HVAC load calculation,true,Commercial,HVAC,Technical,Pre-Construction,Request Manual N load calculation for commercial HVAC sizing.,"manual-n,hvac,commercial,load-calc"
Equipment Specifications - HVAC Commercial,RTU chiller boiler specifications,true,Commercial,HVAC,Technical,Pre-Construction,Request equipment specs (tonnage EER economizer controls).,"specs,hvac,commercial,equipment"
Sequence of Operations - HVAC Commercial,Building automation sequence of operations,true,Commercial,HVAC,Technical,Pre-Construction,Request sequence of operations for BAS integration (Johnson Controls Tridium Siemens).,"sequence,hvac,commercial,bas"
Commissioning Plan - HVAC Commercial,ASHRAE Guideline 0 commissioning plan,true,Commercial,HVAC,Technical,Pre-Construction,Commissioning agent must provide commissioning plan per ASHRAE Guideline 0.,"commissioning,hvac,commercial,ashrae"
TAB Report - HVAC Commercial,Testing Adjusting Balancing report,true,Commercial,HVAC,Inspection,Post-Construction,TAB contractor must provide certified TAB report per AABC or NEBB standards.,"tab,hvac,commercial,balancing"
Commissioning Report - HVAC Commercial,Functional performance testing report,true,Commercial,HVAC,Inspection,Post-Construction,Commissioning agent must provide final commissioning report.,"commissioning,hvac,commercial,report"
O&M Manual - HVAC Commercial,Operations and Maintenance manual (ASHRAE format),true,Commercial,HVAC,O&M,Post-Construction,Contractor must provide O&M manual with equipment maintenance procedures.,"om,hvac,commercial,manual"
Building Permit - Solar Commercial,Commercial building permit for solar installation,true,Commercial,Solar,Permits,Pre-Construction,Submit structural plans and electrical single-line for permit review.,"permit,solar,commercial,building"
Utility Interconnect Agreement - Solar Commercial,Utility interconnection agreement for commercial solar,true,Commercial,Solar,Permits,Pre-Construction,Submit interconnection application. For systems >100kW require interconnection study.,"interconnect,solar,commercial,utility"
Environmental Review - Solar Commercial,CEQA environmental review (California),false,Commercial,Solar,Permits,Pre-Construction,Large solar projects may require CEQA review. Consult with planning department.,"ceqa,solar,commercial,environmental"
Solar PPA - Commercial,Commercial Power Purchase Agreement,false,Commercial,Solar,Contracts,Pre-Construction,Review PPA terms. Understand $/kWh rate credit structure and 15-25 year term.,"ppa,solar,commercial,contract"
PACE Financing Agreement - Solar Commercial,C-PACE financing agreement (Property Assessed Clean Energy),false,Commercial,Solar,Contracts,Pre-Construction,C-PACE allows property tax-based financing. Review terms with attorney.,"pace,solar,commercial,financing"
ITC Documentation - Solar Commercial,Federal Investment Tax Credit (30%) documentation,false,Commercial,Solar,Financial,Post-Construction,Claim 30% ITC. Consult tax advisor for proper documentation.,"itc,solar,commercial,tax-credit"
MACRS Depreciation - Solar Commercial,5-year MACRS depreciation documentation,false,Commercial,Solar,Financial,Post-Construction,Solar qualifies for 5-year accelerated depreciation. Consult tax advisor.,"macrs,solar,commercial,depreciation"
Interconnection Study - Solar Commercial,Utility interconnection study (for systems >100kW),true,Commercial,Solar,Technical,Pre-Construction,Utility must perform System Impact Study for large solar systems.,"interconnection,solar,commercial,study"
Energy Storage Design - Solar Commercial,Battery energy storage system design,false,Commercial,Solar,Technical,Pre-Construction,If adding battery storage request design specs and UL 9540A fire testing.,"battery,solar,commercial,storage"
Solar Commissioning - Commercial,Utility permission to operate (PTO),true,Commercial,Solar,Inspection,Post-Construction,After final inspection utility must grant PTO before system can operate.,"commissioning,solar,commercial,pto"
Production Verification - Solar Commercial,Third-party production verification,false,Commercial,Solar,Inspection,Post-Construction,For performance-based contracts third-party verifies system meets production targets.,"verification,solar,commercial,production"
Performance Guarantee - Solar Commercial,10-20 year production guarantee,false,Commercial,Solar,O&M,Post-Construction,Review production guarantee terms. Understand liquidated damages for underperformance.,"guarantee,solar,commercial,performance"
EPC Contract - Solar Utility-Scale,Engineering Procurement Construction contract,true,Utility-Scale,Solar,Contracts,Pre-Construction,Review EPC contract (lump-sum vs cost-plus). Verify payment milestones and liquidated damages.,"epc,solar,utility,contract"
Power Purchase Agreement - Solar Utility,15-25 year PPA with utility or corporate buyer,true,Utility-Scale,Solar,Contracts,Pre-Construction,PPA defines $/MWh pricing and off-take terms. Critical for project financing.,"ppa,solar,utility,contract"
Large Generator Interconnect Agreement,LGIA with transmission utility,true,Utility-Scale,Solar,Contracts,Pre-Construction,LGIA required for utility-scale projects. Defines interconnection costs and timeline.,"lgia,solar,utility,interconnect"
Land Lease Agreement - Solar Utility,20-30 year ground lease with landowner,true,Utility-Scale,Solar,Contracts,Pre-Construction,Ground lease for solar farm. Verify rent escalation terms and restoration requirements.,"lease,solar,utility,land"
Tax Equity Agreement - Solar Utility,ITC monetization partnership flip structure,false,Utility-Scale,Solar,Financial,Pre-Construction,Tax equity partner monetizes ITC. Complex partnership structure requires legal counsel.,"tax-equity,solar,utility,financing"
